Entity,Year,Annual COâ‚‚ emissions from coal
Argentina,1990,3140048
Argentina,1991,2938528
Argentina,1992,3107072
Argentina,1993,2528239
Argentina,1994,3561301
Argentina,1995,3740944
Argentina,1996,3114315
Argentina,1997,2806624
Argentina,1998,3154704
Argentina,1999,2788304
Argentina,2000,2359677
Argentina,2001,2007817
Argentina,2002,1579184
Argentina,2003,2480461
Argentina,2004,2531824
Argentina,2005,3667664
Argentina,2006,3968029
Argentina,2007,3759264
Argentina,2008,3975440
Argentina,2009,3304860
Argentina,2010,4081696
Argentina,2011,4825488
Argentina,2012,5078304
Argentina,2013,4840051
Argentina,2014,5536412
Argentina,2015,5466688
Argentina,2016,4191696.2
Argentina,2017,4279469
Argentina,2018,4356408
Argentina,2019,2143396
Argentina,2020,3224320
Argentina,2021,4510384
Argentina,2022,4779735
Argentina,2023,4106394.8
Brazil,1990,37094716
Brazil,1991,42466108
Brazil,1992,41203076
Brazil,1993,42342610
Brazil,1994,43666840
Brazil,1995,45582308
Brazil,1996,46468484
Brazil,1997,47044056
Brazil,1998,45590740
Brazil,1999,46804690
Brazil,2000,50460430
Brazil,2001,49426704
Brazil,2002,48688816
Brazil,2003,51933110
Brazil,2004,53832656
Brazil,2005,50948420
Brazil,2006,50837876
Brazil,2007,54989056
Brazil,2008,55315500
Brazil,2009,43586052
Brazil,2010,56688188
Brazil,2011,62292400
Brazil,2012,61016470
Brazil,2013,65604090
Brazil,2014,69033896
Brazil,2015,69451660
Brazil,2016,63831220
Brazil,2017,67321880
Brazil,2018,65840736
Brazil,2019,61887744
Brazil,2020,56240810
Brazil,2021,68229890
Brazil,2022,56078412
Brazil,2023,54848320
Canada,1990,99004880
Canada,1991,103904740
Canada,1992,106720824
Canada,1993,98807976
Canada,1994,102480750
Canada,1995,104309410
Canada,1996,106238220
Canada,1997,113044290
Canada,1998,119192136
Canada,1999,119514904
Canada,2000,128952490
Canada,2001,126479720
Canada,2002,123971550
Canada,2003,123101500
Canada,2004,115514200
Canada,2005,116624190
Canada,2006,114029850
Canada,2007,118820930
Canada,2008,112679890
Canada,2009,93362400
Canada,2010,95843840
Canada,2011,86834820
Canada,2012,81543750
Canada,2013,79249380
Canada,2014,76961840
Canada,2015,73719400
Canada,2016,74001440
Canada,2017,73401464
Canada,2018,61320372
Canada,2019,58777120
Canada,2020,48575084
Canada,2021,45794536
Canada,2022,38198412
Canada,2023,36769324
Colombia,1990,13883794
Colombia,1991,12413632
Colombia,1992,13666720
Colombia,1993,14206152
Colombia,1994,13611760
Colombia,1995,14135712
Colombia,1996,12512560
Colombia,1997,12289056
Colombia,1998,11688160
Colombia,1999,9683952
Colombia,2000,10226884
Colombia,2001,10321488
Colombia,2002,9266875
Colombia,2003,10405760
Colombia,2004,7280861
Colombia,2005,10233552
Colombia,2006,9350528
Colombia,2007,8053471.5
Colombia,2008,10768496
Colombia,2009,11801744
Colombia,2010,13472528
Colombia,2011,13784637
Colombia,2012,11541063
Colombia,2013,17803376
Colombia,2014,18048864
Colombia,2015,19144400
Colombia,2016,19422864
Colombia,2017,14685938
Colombia,2018,13714352
Colombia,2019,18152164
Colombia,2020,16776766
Colombia,2021,11611216
Colombia,2022,10464686
Colombia,2023,16001608
Mexico,1990,15894616
Mexico,1991,15509712
Mexico,1992,14806224
Mexico,1993,18202752
Mexico,1994,20247264
Mexico,1995,22266128
Mexico,1996,25197060
Mexico,1997,25574464
Mexico,1998,26266968
Mexico,1999,26003408
Mexico,2000,26699568
Mexico,2001,30638368
Mexico,2002,34701436
Mexico,2003,42458430
Mexico,2004,37881780
Mexico,2005,46807600
Mexico,2006,50288400
Mexico,2007,45840304
Mexico,2008,40783984
Mexico,2009,40813296
Mexico,2010,51054176
Mexico,2011,56041308
Mexico,2012,49222540
Mexico,2013,49976960
Mexico,2014,48943710
Mexico,2015,44114224
Mexico,2016,47621010
Mexico,2017,48529680
Mexico,2018,47313230
Mexico,2019,45268360
Mexico,2020,33704844
Mexico,2021,29220158
Mexico,2022,35957890
Mexico,2023,38865252
United States,1990,1814536600
United States,1991,1797157100
United States,1992,1817280900
United States,1993,1879595600
United States,1994,1894401800
United States,1995,1913401200
United States,1996,1993564200
United States,1997,2038751500
United States,1998,2062837600
United States,1999,2063366300
United States,2000,2163591400
United States,2001,2099727700
United States,2002,2103809300
United States,2003,2144085900
United States,2004,2164412200
United States,2005,2188336600
United States,2006,2152560000
United States,2007,2175032800
United States,2008,2135889700
United States,2009,1872385800
United States,2010,1982953900
United States,2011,1873284000
United States,2012,1658491300
United States,2013,1720408300
United States,2014,1710593500
United States,2015,1479144800
United States,2016,1347943300
United States,2017,1308715900
United States,2018,1256631000
United States,2019,1071665660
United States,2020,877920300
United States,2021,1004759500
United States,2022,942357400
United States,2023,776767170
Venezuela,1990,1216448
Venezuela,1991,1139504
Venezuela,1992,1231104
Venezuela,1993,1003966
Venezuela,1994,762112
Venezuela,1995,18320
Venezuela,1996,58626
Venezuela,1997,124579
Venezuela,1998,3517440
Venezuela,1999,131907
Venezuela,2000,479984
Venezuela,2001,175872
Venezuela,2002,65952
Venezuela,2003,157552
Venezuela,2004,0
Venezuela,2005,139232
Venezuela,2006,648528
Venezuela,2007,403040
Venezuela,2008,512960.03
Venezuela,2009,861060
Venezuela,2010,754798
Venezuela,2011,776768
Venezuela,2012,798736
Venezuela,2013,795088
Venezuela,2014,747471
Venezuela,2015,699838
Venezuela,2016,582576
Venezuela,2017,490964
Venezuela,2018,392048
Venezuela,2019,285792
Venezuela,2020,197856
Venezuela,2021,197856
Venezuela,2022,672758
Venezuela,2023,672758