Entity,Year,Annual COâ‚‚ emissions from flaring
Argentina,1990,4785184
Argentina,1991,4103680.2
Argentina,1992,3997424
Argentina,1993,4752356
Argentina,1994,1978066
Argentina,1995,2886812
Argentina,1996,2150744
Argentina,1997,2205528
Argentina,1998,1692871
Argentina,1999,1883376
Argentina,2000,1465784
Argentina,2001,1506541
Argentina,2002,1509591
Argentina,2003,1297408
Argentina,2004,1090624
Argentina,2005,912796
Argentina,2006,799053
Argentina,2007,694586
Argentina,2008,599396
Argentina,2009,693311
Argentina,2010,612448
Argentina,2011,871624
Argentina,2012,1130801
Argentina,2013,1291296
Argentina,2014,1388263
Argentina,2015,1217512
Argentina,2016,841232
Argentina,2017,959820
Argentina,2018,1358780
Argentina,2019,1770641
Argentina,2020,1986565
Argentina,2021,2324761
Argentina,2022,2195047
Argentina,2023,2053813
Brazil,1990,7554000
Brazil,1991,7361000
Brazil,1992,7445000
Brazil,1993,7576000
Brazil,1994,8003999.5
Brazil,1995,7514000
Brazil,1996,7821000
Brazil,1997,8604000
Brazil,1998,9463000
Brazil,1999,10123000
Brazil,2000,10737000
Brazil,2001,11721000
Brazil,2002,11218000
Brazil,2003,11199000
Brazil,2004,10840000
Brazil,2005,13877000
Brazil,2006,12882000
Brazil,2007,13469000
Brazil,2008,14207000
Brazil,2009,18434000
Brazil,2010,15214000
Brazil,2011,14120000
Brazil,2012,14761000
Brazil,2013,16634001
Brazil,2014,17642000
Brazil,2015,17604000
Brazil,2016,17505000
Brazil,2017,17505000
Brazil,2018,17505000
Brazil,2019,17505000
Brazil,2020,17505000
Brazil,2021,17505000
Brazil,2022,17505000
Brazil,2023,17505000
Canada,1990,11834869
Canada,1991,12145431
Canada,1992,13050438
Canada,1993,13189184
Canada,1994,14458360
Canada,1995,14715748
Canada,1996,15910982
Canada,1997,16052002
Canada,1998,17755578
Canada,1999,16058254
Canada,2000,16036789
Canada,2001,15457197
Canada,2002,15817112
Canada,2003,15299588
Canada,2004,15790152
Canada,2005,15450888
Canada,2006,15798562
Canada,2007,15844965
Canada,2008,15094333
Canada,2009,14170311
Canada,2010,14450592
Canada,2011,14619051
Canada,2012,15489684
Canada,2013,16364697
Canada,2014,16510662
Canada,2015,15765916
Canada,2016,13819613
Canada,2017,14540332
Canada,2018,15213126
Canada,2019,15656901
Canada,2020,16157942
Canada,2021,16971154
Canada,2022,17494760
Canada,2023,17494760
Colombia,1990,806132
Colombia,1991,828064
Colombia,1992,923328
Colombia,1993,1132242
Colombia,1994,968605
Colombia,1995,1301208
Colombia,1996,859938
Colombia,1997,1866199
Colombia,1998,1916182
Colombia,1999,1319111
Colombia,2000,1307209
Colombia,2001,1609107
Colombia,2002,1559074
Colombia,2003,1269803
Colombia,2004,1048543
Colombia,2005,856762
Colombia,2006,831108
Colombia,2007,843935
Colombia,2008,797578
Colombia,2009,896843
Colombia,2010,1068921
Colombia,2011,1459831
Colombia,2012,1850741
Colombia,2013,1662423
Colombia,2014,1626983
Colombia,2015,1542764
Colombia,2016,1109358
Colombia,2017,1033548
Colombia,2018,1045016.06
Colombia,2019,1003447.06
Colombia,2020,733038
Colombia,2021,615765
Colombia,2022,458168
Colombia,2023,602775
Ecuador,1990,1670784
Ecuador,1991,1392320
Ecuador,1992,1340799
Ecuador,1993,1487584
Ecuador,1994,2199902
Ecuador,1995,2296117
Ecuador,1996,2579363
Ecuador,1997,2420562
Ecuador,1998,2180299
Ecuador,1999,2033449.9
Ecuador,2000,1874375
Ecuador,2001,1984392
Ecuador,2002,1799588
Ecuador,2003,1922057
Ecuador,2004,1971015
Ecuador,2005,2118864
Ecuador,2006,2077907.1
Ecuador,2007,2110563
Ecuador,2008,2247460
Ecuador,2009,2414286
Ecuador,2010,2696431
Ecuador,2011,2100308
Ecuador,2012,1504184
Ecuador,2013,1490762
Ecuador,2014,1887417
Ecuador,2015,1987638
Ecuador,2016,2038158.9
Ecuador,2017,2008632
Ecuador,2018,1631186
Ecuador,2019,1727684
Ecuador,2020,1948265
Ecuador,2021,2322149
Ecuador,2022,2426056
Ecuador,2023,2974447
Mexico,1990,1846677
Mexico,1991,1868640
Mexico,1992,1890624
Mexico,1993,2612432
Mexico,1994,2806449
Mexico,1995,3679089
Mexico,1996,4707803
Mexico,1997,6225221
Mexico,1998,6265602
Mexico,1999,5159300
Mexico,2000,5382886
Mexico,2001,4569531
Mexico,2002,3726546
Mexico,2003,3973161
Mexico,2004,3189110
Mexico,2005,3523614
Mexico,2006,4012092
Mexico,2007,5011702
Mexico,2008,6720925
Mexico,2009,5567641
Mexico,2010,4697251
Mexico,2011,6373758
Mexico,2012,8050264.5
Mexico,2013,8099832.5
Mexico,2014,9133108
Mexico,2015,9394480
Mexico,2016,8522085
Mexico,2017,7123260
Mexico,2018,7360420
Mexico,2019,8429853
Mexico,2020,10842072
Mexico,2021,12237033
Mexico,2022,10655503
Mexico,2023,10322937
United States,1990,46339000
United States,1991,45348390
United States,1992,45015340
United States,1993,44012880
United States,1994,44408844
United States,1995,42756624
United States,1996,41298990
United States,1997,41418988
United States,1998,39021900
United States,1999,38799652
United States,2000,38914656
United States,2001,38696140
United States,2002,38892520
United States,2003,38566550
United States,2004,39120044
United States,2005,39430492
United States,2006,40037108
United States,2007,40462904
United States,2008,42054316
United States,2009,41081516
United States,2010,43407332
United States,2011,47863200
United States,2012,51515324
United States,2013,57422724
United States,2014,63123630
United States,2015,64372064
United States,2016,55138740
United States,2017,59486420
United States,2018,72066216
United States,2019,88436970
United States,2020,67749200
United States,2021,63293600
United States,2022,63293600
United States,2023,63293600
Venezuela,1990,7544176
Venezuela,1991,7544176
Venezuela,1992,8262319.5
Venezuela,1993,10790803
Venezuela,1994,2395333
Venezuela,1995,4125360
Venezuela,1996,3990538
Venezuela,1997,4706978
Venezuela,1998,5442871
Venezuela,1999,5189005
Venezuela,2000,5917772
Venezuela,2001,4970770
Venezuela,2002,3807034
Venezuela,2003,3746174
Venezuela,2004,4165240.8
Venezuela,2005,4108357
Venezuela,2006,3922528
Venezuela,2007,4224901
Venezuela,2008,5120319
Venezuela,2009,5245339
Venezuela,2010,5328202
Venezuela,2011,10326511
Venezuela,2012,15324819
Venezuela,2013,17401236
Venezuela,2014,18719568
Venezuela,2015,17544010
Venezuela,2016,17425108
Venezuela,2017,13154857
Venezuela,2018,15593760
Venezuela,2019,17937872
Venezuela,2020,16146835
Venezuela,2021,15394991
Venezuela,2022,16190449
Venezuela,2023,15617441