Entity,Year,Annual COâ‚‚ emissions from gas
Argentina,1990,43213216
Argentina,1991,47283920
Argentina,1992,48302510
Argentina,1993,40807240
Argentina,1994,42676988
Argentina,1995,53193950
Argentina,1996,57541548
Argentina,1997,61503904
Argentina,1998,61613824
Argentina,1999,67619120
Argentina,2000,69438250
Argentina,2001,64807068
Argentina,2002,62617760
Argentina,2003,69068184
Argentina,2004,82912660
Argentina,2005,81967340
Argentina,2006,83867190
Argentina,2007,87177550
Argentina,2008,90119740
Argentina,2009,87992824
Argentina,2010,86928400
Argentina,2011,92585620
Argentina,2012,95381250
Argentina,2013,91338100
Argentina,2014,92843900
Argentina,2015,93534590
Argentina,2016,96302760
Argentina,2017,96441930
Argentina,2018,96123096
Argentina,2019,95606460
Argentina,2020,89082830
Argentina,2021,93072930
Argentina,2022,92908330
Argentina,2023,91051420
Brazil,1990,7483989
Brazil,1991,7335661
Brazil,1992,7983260
Brazil,1993,8729970
Brazil,1994,8985299
Brazil,1995,9602722
Brazil,1996,10608090
Brazil,1997,11863316
Brazil,1998,12411119
Brazil,1999,14068825
Brazil,2000,18442374
Brazil,2001,23185590
Brazil,2002,29292858
Brazil,2003,30919220
Brazil,2004,38215092
Brazil,2005,39619380
Brazil,2006,42052556
Brazil,2007,43245600
Brazil,2008,51302692
Brazil,2009,40958540
Brazil,2010,55048824
Brazil,2011,53100584
Brazil,2012,63396560
Brazil,2013,74703790
Brazil,2014,81285730
Brazil,2015,80464760
Brazil,2016,69665670
Brazil,2017,70687790
Brazil,2018,67417080
Brazil,2019,67121320
Brazil,2020,59026100
Brazil,2021,75974390
Brazil,2022,60085370
Brazil,2023,56329260
Canada,1990,125716240
Canada,1991,125376570
Canada,1992,132661830
Canada,1993,137762670
Canada,1994,140977970
Canada,1995,148261220
Canada,1996,155033490
Canada,1997,153691310
Canada,1998,150443660
Canada,1999,162930240
Canada,2000,173423040
Canada,2001,165500290
Canada,2002,171754740
Canada,2003,174245250
Canada,2004,170262460
Canada,2005,169200370
Canada,2006,168452320
Canada,2007,180770420
Canada,2008,181200060
Canada,2009,174223170
Canada,2010,178268480
Canada,2011,193975940
Canada,2012,197213420
Canada,2013,204249760
Canada,2014,211464910
Canada,2015,213612450
Canada,2016,210439150
Canada,2017,216781440
Canada,2018,231730800
Canada,2019,234935410
Canada,2020,224904670
Canada,2021,230941660
Canada,2022,239740960
Canada,2023,237269170
Colombia,1990,8372781
Colombia,1991,8694672
Colombia,1992,8364912
Colombia,1993,8643878
Colombia,1994,8976800
Colombia,1995,8295295.5
Colombia,1996,10233552
Colombia,1997,12453936
Colombia,1998,13021856
Colombia,1999,11200848
Colombia,2000,12487718
Colombia,2001,13260016
Colombia,2002,13246245
Colombia,2003,12681104
Colombia,2004,13348856
Colombia,2005,14007472
Colombia,2006,14033120
Colombia,2007,14033120
Colombia,2008,17517584
Colombia,2009,20097040
Colombia,2010,21987664
Colombia,2011,21050702
Colombia,2012,22898934
Colombia,2013,22339408
Colombia,2014,23907600
Colombia,2015,24405904
Colombia,2016,22896336
Colombia,2017,22783724
Colombia,2018,23530208
Colombia,2019,24223650
Colombia,2020,23950582
Colombia,2021,21760496
Colombia,2022,21688814
Colombia,2023,22497774
Ecuador,1990,509296
Ecuador,1991,600896
Ecuador,1992,465250
Ecuador,1993,534944
Ecuador,1994,483648
Ecuador,1995,465328
Ecuador,1996,494640
Ecuador,1997,450672
Ecuador,1998,461664
Ecuador,1999,432352
Ecuador,2000,472571
Ecuador,2001,479907
Ecuador,2002,476320
Ecuador,2003,930528
Ecuador,2004,1135840
Ecuador,2005,894126
Ecuador,2006,956425
Ecuador,2007,1022256
Ecuador,2008,930772
Ecuador,2009,1099076
Ecuador,2010,1157702
Ecuador,2011,1047904
Ecuador,2012,1399648
Ecuador,2013,1590176
Ecuador,2014,1630480
Ecuador,2015,1535077
Ecuador,2016,1652464
Ecuador,2017,1535069
Ecuador,2018,1355811
Ecuador,2019,1212672
Ecuador,2020,1029584.06
Ecuador,2021,1084544
Ecuador,2022,933284
Ecuador,2023,859142
Mexico,1990,52923428
Mexico,1991,55267776
Mexico,1992,55612190
Mexico,1993,55066256
Mexico,1994,56901920
Mexico,1995,56920240
Mexico,1996,62745332
Mexico,1997,65771804
Mexico,1998,71088260
Mexico,1999,69802860
Mexico,2000,81201570
Mexico,2001,82887010
Mexico,2002,92170760
Mexico,2003,101903170
Mexico,2004,105646890
Mexico,2005,105515870
Mexico,2006,117936830
Mexico,2007,117273650
Mexico,2008,118567040
Mexico,2009,123432830
Mexico,2010,124121660
Mexico,2011,130706860
Mexico,2012,135726560
Mexico,2013,142276780
Mexico,2014,138502860
Mexico,2015,147976830
Mexico,2016,151455100
Mexico,2017,143251410
Mexico,2018,165521200
Mexico,2019,157100080
Mexico,2020,160950800
Mexico,2021,165838600
Mexico,2022,164588060
Mexico,2023,176578690
United States,1990,1023425200
United States,1991,1042436300
United States,1992,1080400400
United States,1993,1109229700
United States,1994,1137428200
United States,1995,1186511100
United States,1996,1206586600
United States,1997,1214127700
United States,1998,1191096800
United States,1999,1197930500
United States,2000,1251387900
United States,2001,1198854800
United States,2002,1237820500
United States,2003,1201065900
United States,2004,1204871000
United States,2005,1186901900
United States,2006,1173252000
United States,2007,1247321100
United States,2008,1252606100
United States,2009,1231696300
United States,2010,1290495200
United States,2011,1310706800
United States,2012,1372072400
United States,2013,1410481500
United States,2014,1435209000
United States,2015,1476136400
United States,2016,1481873400
United States,2017,1460655600
United States,2018,1619274500
United States,2019,1675471100
United States,2020,1656254800
United States,2021,1659128200
United States,2022,1748499100
United States,2023,1755923500
Venezuela,1990,42344850
Venezuela,1991,43077650
Venezuela,1992,19338592
Venezuela,1993,39836200
Venezuela,1994,50039250
Venezuela,1995,57165730
Venezuela,1996,64121924
Venezuela,1997,65668016
Venezuela,1998,54666880
Venezuela,1999,47930012
Venezuela,2000,50006270
Venezuela,2001,46712336
Venezuela,2002,55711120
Venezuela,2003,51823616
Venezuela,2004,51101810
Venezuela,2005,44323410
Venezuela,2006,45730384
Venezuela,2007,46734320
Venezuela,2008,45026896
Venezuela,2009,43727170
Venezuela,2010,47684188
Venezuela,2011,47877490
Venezuela,2012,49741440
Venezuela,2013,48511360
Venezuela,2014,46647320
Venezuela,2015,46434828
Venezuela,2016,48756850
Venezuela,2017,47825004
Venezuela,2018,41703650
Venezuela,2019,34474576
Venezuela,2020,25713952
Venezuela,2021,28601184
Venezuela,2022,29616872
Venezuela,2023,30256826